Thread ID, Time, Message Type,n,r,k,case
Thread ID: 2, Time: 10:34:19:922 19/07/2023, sent GRANT message,2,3,0,3
Thread ID: 1, Time: 10:34:19:928 19/07/2023, sent GRANT message,2,3,0,3
Thread ID: 2, Time: 10:34:19:978 19/07/2023, sent GRANT message,2,3,0,3
Thread ID: 1, Time: 10:34:19:988 19/07/2023, sent GRANT message,2,3,0,3
Thread ID: 1, Time: 10:34:20:036 19/07/2023, sent GRANT message,2,3,0,3
Thread ID: 2, Time: 10:34:20:045 19/07/2023, sent GRANT message,2,3,0,3
Thread ID: 2, Time: 10:34:19:922 19/07/2023, sent GRANT message,4,3,0,3
Thread ID: 1, Time: 10:34:19:928 19/07/2023, sent GRANT message,4,3,0,3
Thread ID: 2, Time: 10:34:19:978 19/07/2023, sent GRANT message,4,3,0,3
Thread ID: 1, Time: 10:34:19:988 19/07/2023, sent GRANT message,4,3,0,3
Thread ID: 1, Time: 10:34:20:036 19/07/2023, sent GRANT message,4,3,0,3
Thread ID: 2, Time: 10:34:20:045 19/07/2023, sent GRANT message,4,3,0,3
Thread ID: 4, Time: 10:34:20:210 19/07/2023, sent GRANT message,4,3,0,3
Thread ID: 2, Time: 10:34:20:220 19/07/2023, sent GRANT message,4,3,0,3
Thread ID: 3, Time: 10:34:20:227 19/07/2023, sent GRANT message,4,3,0,3
Thread ID: 1, Time: 10:34:20:237 19/07/2023, sent GRANT message,4,3,0,3
Thread ID: 2, Time: 10:34:20:281 19/07/2023, sent GRANT message,4,3,0,3
Thread ID: 4, Time: 10:34:20:294 19/07/2023, sent GRANT message,4,3,0,3
Thread ID: 3, Time: 10:34:20:304 19/07/2023, sent GRANT message,4,3,0,3
Thread ID: 1, Time: 10:34:20:315 19/07/2023, sent GRANT message,4,3,0,3
Thread ID: 2, Time: 10:34:20:336 19/07/2023, sent GRANT message,4,3,0,3
Thread ID: 4, Time: 10:34:20:349 19/07/2023, sent GRANT message,4,3,0,3
Thread ID: 3, Time: 10:34:20:357 19/07/2023, sent GRANT message,4,3,0,3
Thread ID: 1, Time: 10:34:20:377 19/07/2023, sent GRANT message,4,3,0,3
Thread ID: 2, Time: 10:34:19:922 19/07/2023, sent GRANT message,8,3,0,3
Thread ID: 1, Time: 10:34:19:928 19/07/2023, sent GRANT message,8,3,0,3
Thread ID: 2, Time: 10:34:19:978 19/07/2023, sent GRANT message,8,3,0,3
Thread ID: 1, Time: 10:34:19:988 19/07/2023, sent GRANT message,8,3,0,3
Thread ID: 1, Time: 10:34:20:036 19/07/2023, sent GRANT message,8,3,0,3
Thread ID: 2, Time: 10:34:20:045 19/07/2023, sent GRANT message,8,3,0,3
Thread ID: 4, Time: 10:34:20:210 19/07/2023, sent GRANT message,8,3,0,3
Thread ID: 2, Time: 10:34:20:220 19/07/2023, sent GRANT message,8,3,0,3
Thread ID: 3, Time: 10:34:20:227 19/07/2023, sent GRANT message,8,3,0,3
Thread ID: 1, Time: 10:34:20:237 19/07/2023, sent GRANT message,8,3,0,3
Thread ID: 2, Time: 10:34:20:281 19/07/2023, sent GRANT message,8,3,0,3
Thread ID: 4, Time: 10:34:20:294 19/07/2023, sent GRANT message,8,3,0,3
Thread ID: 3, Time: 10:34:20:304 19/07/2023, sent GRANT message,8,3,0,3
Thread ID: 1, Time: 10:34:20:315 19/07/2023, sent GRANT message,8,3,0,3
Thread ID: 2, Time: 10:34:20:336 19/07/2023, sent GRANT message,8,3,0,3
Thread ID: 4, Time: 10:34:20:349 19/07/2023, sent GRANT message,8,3,0,3
Thread ID: 3, Time: 10:34:20:357 19/07/2023, sent GRANT message,8,3,0,3
Thread ID: 1, Time: 10:34:20:377 19/07/2023, sent GRANT message,8,3,0,3
Thread ID: 3, Time: 10:34:20:600 19/07/2023, sent GRANT message,8,3,0,3
Thread ID: 1, Time: 10:34:20:614 19/07/2023, sent GRANT message,8,3,0,3
Thread ID: 8, Time: 10:34:20:624 19/07/2023, sent GRANT message,8,3,0,3
Thread ID: 7, Time: 10:34:20:638 19/07/2023, sent GRANT message,8,3,0,3
Thread ID: 6, Time: 10:34:20:649 19/07/2023, sent GRANT message,8,3,0,3
Thread ID: 4, Time: 10:34:20:660 19/07/2023, sent GRANT message,8,3,0,3
Thread ID: 2, Time: 10:34:20:673 19/07/2023, sent GRANT message,8,3,0,3
Thread ID: 5, Time: 10:34:20:686 19/07/2023, sent GRANT message,8,3,0,3
Thread ID: 8, Time: 10:34:20:693 19/07/2023, sent GRANT message,8,3,0,3
Thread ID: 7, Time: 10:34:20:704 19/07/2023, sent GRANT message,8,3,0,3
Thread ID: 6, Time: 10:34:20:711 19/07/2023, sent GRANT message,8,3,0,3
Thread ID: 1, Time: 10:34:20:721 19/07/2023, sent GRANT message,8,3,0,3
Thread ID: 3, Time: 10:34:20:730 19/07/2023, sent GRANT message,8,3,0,3
Thread ID: 4, Time: 10:34:20:739 19/07/2023, sent GRANT message,8,3,0,3
Thread ID: 2, Time: 10:34:20:751 19/07/2023, sent GRANT message,8,3,0,3
Thread ID: 5, Time: 10:34:20:758 19/07/2023, sent GRANT message,8,3,0,3
Thread ID: 8, Time: 10:34:20:771 19/07/2023, sent GRANT message,8,3,0,3
Thread ID: 7, Time: 10:34:20:781 19/07/2023, sent GRANT message,8,3,0,3
Thread ID: 6, Time: 10:34:20:797 19/07/2023, sent GRANT message,8,3,0,3
Thread ID: 1, Time: 10:34:20:808 19/07/2023, sent GRANT message,8,3,0,3
Thread ID: 3, Time: 10:34:20:820 19/07/2023, sent GRANT message,8,3,0,3
Thread ID: 4, Time: 10:34:20:833 19/07/2023, sent GRANT message,8,3,0,3
Thread ID: 2, Time: 10:34:20:842 19/07/2023, sent GRANT message,8,3,0,3
Thread ID: 5, Time: 10:34:20:855 19/07/2023, sent GRANT message,8,3,0,3
Thread ID: 2, Time: 10:34:19:922 19/07/2023, sent GRANT message,16,3,0,3
Thread ID: 1, Time: 10:34:19:928 19/07/2023, sent GRANT message,16,3,0,3
