PID: 46347, Number Sent: 17, Time: 16:39:12:698 17/07/2023, Response: REQUEST
PID: 46347, Number Sent: 8, Time: 16:39:12:698 17/07/2023, Response: REQUEST
PID: 46347, Number Sent: 17, Time: 16:39:12:698 17/07/2023, Response: GRANT
PID: 46347, Number Sent: 17, Time: 16:39:14:698 17/07/2023, Response: RELEASE
PID: 46347, Number Sent: 15, Time: 16:39:14:698 17/07/2023, Response: REQUEST
PID: 46347, Number Sent: 8, Time: 16:39:14:698 17/07/2023, Response: GRANT
PID: 46347, Number Sent: 8, Time: 16:39:16:699 17/07/2023, Response: RELEASE
PID: 46347, Number Sent: 15, Time: 16:39:16:699 17/07/2023, Response: GRANT
PID: 46347, Number Sent: 13, Time: 16:39:16:699 17/07/2023, Response: REQUEST
PID: 46347, Number Sent: 15, Time: 16:39:18:699 17/07/2023, Response: RELEASE
PID: 46347, Number Sent: 19, Time: 16:39:18:699 17/07/2023, Response: REQUEST
PID: 46347, Number Sent: 19, Time: 16:39:18:699 17/07/2023, Response: GRANT
PID: 46347, Number Sent: 19, Time: 16:39:20:699 17/07/2023, Response: RELEASE
PID: 46347, Number Sent: 18, Time: 16:39:20:699 17/07/2023, Response: REQUEST
PID: 46347, Number Sent: 18, Time: 16:39:20:699 17/07/2023, Response: GRANT
PID: 46347, Number Sent: 18, Time: 16:39:22:700 17/07/2023, Response: RELEASE
PID: 46347, Number Sent: 13, Time: 16:39:22:700 17/07/2023, Response: GRANT
PID: 46347, Number Sent: 5, Time: 16:39:22:700 17/07/2023, Response: REQUEST
PID: 46347, Number Sent: 13, Time: 16:39:24:700 17/07/2023, Response: RELEASE
PID: 46347, Number Sent: 5, Time: 16:39:24:700 17/07/2023, Response: GRANT
PID: 46347, Number Sent: 12, Time: 16:39:24:700 17/07/2023, Response: REQUEST
PID: 46347, Number Sent: 5, Time: 16:39:26:701 17/07/2023, Response: RELEASE
PID: 46347, Number Sent: 2, Time: 16:39:26:701 17/07/2023, Response: REQUEST
PID: 46347, Number Sent: 2, Time: 16:39:26:701 17/07/2023, Response: GRANT
PID: 46347, Number Sent: 2, Time: 16:39:28:701 17/07/2023, Response: RELEASE
PID: 46347, Number Sent: 4, Time: 16:39:28:701 17/07/2023, Response: REQUEST
PID: 46347, Number Sent: 12, Time: 16:39:28:702 17/07/2023, Response: GRANT
PID: 46347, Number Sent: 12, Time: 16:39:30:702 17/07/2023, Response: RELEASE
PID: 46347, Number Sent: 4, Time: 16:39:30:702 17/07/2023, Response: GRANT
PID: 46347, Number Sent: 7, Time: 16:39:30:702 17/07/2023, Response: REQUEST
PID: 46347, Number Sent: 4, Time: 16:39:32:702 17/07/2023, Response: RELEASE
PID: 46347, Number Sent: 17, Time: 16:39:32:702 17/07/2023, Response: REQUEST
PID: 46347, Number Sent: 17, Time: 16:39:32:702 17/07/2023, Response: GRANT
PID: 46347, Number Sent: 17, Time: 16:39:34:702 17/07/2023, Response: RELEASE
PID: 46347, Number Sent: 8, Time: 16:39:34:703 17/07/2023, Response: REQUEST
PID: 46347, Number Sent: 8, Time: 16:39:34:703 17/07/2023, Response: GRANT
PID: 46347, Number Sent: 8, Time: 16:39:36:703 17/07/2023, Response: RELEASE
PID: 46347, Number Sent: 16, Time: 16:39:36:703 17/07/2023, Response: REQUEST
PID: 46347, Number Sent: 16, Time: 16:39:36:703 17/07/2023, Response: GRANT
PID: 46347, Number Sent: 16, Time: 16:39:38:703 17/07/2023, Response: RELEASE
PID: 46408, Number Sent: 11, Time: 16:46:49:223 17/07/2023, Response: REQUEST
PID: 46408, Number Sent: 3, Time: 16:46:49:223 17/07/2023, Response: REQUEST
PID: 46408, Number Sent: 11, Time: 16:46:49:224 17/07/2023, Response: GRANT
PID: 46408, Number Sent: 11, Time: 16:46:51:224 17/07/2023, Response: RELEASE
PID: 46408, Number Sent: 10, Time: 16:46:51:224 17/07/2023, Response: REQUEST
PID: 46435, Number Sent: 2, Time: 16:49:36:039 17/07/2023, Response: REQUEST
PID: 46435, Number Sent: 14, Time: 16:49:36:039 17/07/2023, Response: REQUEST
PID: 46435, Number Sent: 14, Time: 16:49:36:040 17/07/2023, Response: GRANT
PID: 46435, Number Sent: 14, Time: 16:49:38:040 17/07/2023, Response: RELEASE
PID: 46435, Number Sent: 8, Time: 16:49:38:040 17/07/2023, Response: REQUEST
PID: 46435, Number Sent: 8, Time: 16:49:38:040 17/07/2023, Response: GRANT
PID: 46435, Number Sent: 8, Time: 16:49:40:040 17/07/2023, Response: RELEASE
PID: 46435, Number Sent: 2, Time: 16:49:40:040 17/07/2023, Response: GRANT
PID: 46435, Number Sent: 9, Time: 16:49:40:040 17/07/2023, Response: REQUEST
PID: 46435, Number Sent: 2, Time: 16:49:42:041 17/07/2023, Response: RELEASE
